"z1";"z2";"z3";"z4";"z5";"z6";"ziehung"
32;27;47;2;45;29;996
22;46;48;43;28;29;997
41;42;12;32;27;28;998
40;29;32;8;22;19;999
14;27;32;22;10;49;1000
48;6;14;9;42;45;1001
47;20;10;22;17;9;1002
42;23;6;22;7;46;1003
41;24;28;3;40;45;1004
13;38;43;1;42;37;1005
33;14;4;1;27;30;1006
23;42;1;32;48;6;1007
26;18;33;36;20;47;1008
7;47;27;30;37;25;1009
49;40;18;34;28;4;1010
1;38;33;4;20;14;1011
38;49;32;12;19;3;1012
23;20;8;2;49;41;1013
42;21;32;18;7;23;1014
24;12;15;47;49;11;1015
29;9;4;7;16;26;1016
10;5;13;16;31;22;1017
45;10;12;40;35;19;1018
33;39;19;1;4;38;1019
27;35;7;37;33;18;1020
23;31;6;34;40;25;1021
27;7;33;14;23;36;1022
10;11;35;46;9;27;1023
17;28;30;43;12;25;1024
38;43;12;31;10;49;1025
31;18;35;22;45;33;1026
39;31;12;7;24;30;1027
31;26;35;25;38;19;1028
1;3;13;11;44;9;1029
3;38;25;29;30;9;1030
26;15;17;29;42;9;1031
47;4;2;13;49;26;1032
48;28;36;40;39;3;1033
36;49;28;19;48;17;1034
33;25;38;15;9;49;1035
17;2;32;45;3;46;1036
31;43;27;32;7;3;1037
8;38;32;39;27;12;1038
7;16;32;46;13;40;1039
35;42;2;19;18;5;1040
44;32;4;12;30;14;1041
16;17;33;40;26;31;1042
35;18;15;7;41;44;1043
8;1;43;10;45;6;1044
30;17;47;40;32;37;1045
32;8;38;40;27;21;1046
3;32;27;34;33;16;1047
12;44;35;39;11;4;1048
13;44;16;7;26;46;1049
16;4;5;44;18;24;1050
19;14;20;43;2;32;1051
22;8;14;36;2;5;1052
39;35;31;37;46;29;1053
37;3;23;7;44;25;1054
13;45;25;2;35;46;1055
21;25;9;37;44;11;1056
28;39;16;11;3;49;1057
9;47;46;10;41;29;1058
22;6;45;38;41;13;1059
24;4;29;43;34;32;1060
3;1;7;41;32;46;1061
13;30;11;18;15;10;1062
17;23;20;9;24;31;1063
30;8;44;32;48;40;1064
10;1;26;38;46;13;1065
12;45;41;1;9;30;1066
32;26;29;43;8;4;1067
29;44;17;25;23;42;1068
40;2;41;13;11;10;1069
21;48;8;12;15;5;1070
41;42;23;36;20;1;1071
21;41;5;46;23;19;1072
29;26;48;45;42;20;1073
28;9;10;1;49;46;1074
45;5;43;2;22;44;1075
37;17;48;43;9;18;1076
12;15;32;17;41;25;1077
20;6;1;45;46;33;1078
5;11;47;29;13;35;1079
23;41;34;7;2;47;1080
24;25;20;35;7;19;1081
15;3;47;17;32;14;1082
6;32;15;33;12;5;1083
38;46;26;9;5;12;1084
25;5;20;26;41;27;1085
43;31;26;44;42;28;1086
40;35;16;33;21;5;1087
2;39;6;30;16;26;1088
11;7;37;26;19;20;1089
8;43;4;6;9;29;1090
17;19;6;30;28;16;1091
49;12;9;20;37;11;1092
32;40;6;24;3;11;1093
46;32;44;28;23;9;1094
39;3;48;16;37;47;1095
19;35;24;39;6;9;1096
47;2;33;1;23;34;1097
15;40;30;38;8;22;1098
38;2;43;7;47;16;1099
3;30;15;8;17;10;1100
45;25;17;8;2;11;1101
7;36;14;49;29;25;1102
18;13;40;43;35;3;1103
38;29;6;35;47;3;1104
32;2;44;15;1;28;1105
23;46;38;2;45;25;1106
16;44;12;43;38;25;1107
23;31;24;25;39;36;1108
31;13;33;7;2;30;1109
16;44;39;38;46;24;1110
16;12;38;3;19;2;1111
2;40;20;9;7;16;1112
23;8;42;37;4;9;1113
23;43;19;25;24;37;1114
31;9;5;16;15;10;1115
34;49;37;2;44;20;1116
40;34;49;9;39;10;1117
9;10;33;46;16;8;1118
31;49;15;19;21;22;1119
36;13;20;14;9;44;1120
18;47;5;3;17;34;1121
49;41;29;3;27;45;1122
48;5;25;20;49;39;1123
43;16;17;26;30;41;1124
8;15;1;27;12;34;1125
5;16;24;20;35;17;1126
31;36;37;25;15;41;1127
7;27;21;5;36;9;1128
12;13;22;39;48;45;1129
11;32;48;36;30;29;1130
32;12;46;40;14;3;1131
29;17;20;40;9;18;1132
20;41;38;6;32;40;1133
34;11;47;18;20;27;1134
3;30;36;7;19;24;1135
44;39;47;49;37;2;1136
24;37;6;13;22;42;1137
40;24;36;15;11;42;1138
36;37;42;28;15;2;1139
21;20;30;9;10;34;1140
13;37;16;19;27;32;1141
22;7;9;3;14;35;1142
29;24;28;21;3;36;1143
40;23;3;44;25;48;1144
1;32;22;40;33;37;1145
13;12;18;10;32;11;1146
45;18;2;47;42;27;1147
24;45;26;44;12;7;1148
43;47;8;36;32;38;1149
48;3;6;26;2;1;1150
28;34;49;31;35;8;1151
19;17;42;26;43;10;1152
18;29;33;16;48;34;1153
35;21;43;36;19;47;1154
42;5;47;30;27;46;1155
13;26;47;25;23;16;1156
7;27;24;34;31;44;1157
12;1;35;41;26;7;1158
23;18;8;25;38;42;1159
29;44;18;4;14;15;1160
38;29;47;5;21;43;1161
34;10;25;36;18;26;1162
17;1;4;33;31;49;1163
18;9;38;8;29;46;1164
37;25;17;43;2;26;1165
2;23;14;41;8;40;1166
23;29;25;3;35;36;1167
1;3;4;39;41;43;1168
35;49;34;7;47;11;1169
16;4;41;1;44;9;1170
10;29;23;6;20;45;1171
16;6;31;45;9;13;1172
28;47;23;48;15;25;1173
16;3;5;9;41;34;1174
42;34;43;26;32;21;1175
35;46;42;3;26;16;1176
7;35;46;37;1;18;1177
8;2;19;22;30;7;1178
44;45;30;31;17;15;1179
35;43;33;39;32;26;1180
3;26;32;48;24;5;1181
7;36;34;33;22;45;1182
23;31;30;18;48;8;1183
43;32;16;10;26;29;1184
24;36;21;33;43;28;1185
38;32;14;40;44;16;1186
41;8;31;14;17;2;1187
4;5;28;11;6;10;1188
47;39;44;17;49;48;1189
49;29;11;23;20;27;1190
33;31;4;45;11;23;1191
33;34;2;20;16;15;1192
17;4;42;36;35;7;1193
3;26;31;21;40;46;1194
26;40;43;19;42;36;1195
2;20;38;14;8;23;1196
38;14;33;35;15;4;1197
4;3;8;32;5;49;1198
37;15;4;32;42;5;1199
38;20;6;49;46;26;1200
35;34;8;13;32;22;1201
30;2;7;29;11;15;1202
13;43;32;16;7;40;1203
18;31;13;45;49;46;1204
38;21;8;5;35;40;1205
3;18;24;43;40;23;1206
35;49;22;25;21;10;1207
3;22;31;1;37;39;1208
47;24;18;39;38;35;1209
46;32;19;18;28;13;1210
32;15;21;30;48;12;1211
35;38;27;46;6;11;1212
37;39;41;43;8;10;1213
8;9;12;16;45;5;1214
32;6;43;11;20;1;1215
26;38;33;2;31;20;1216
29;23;48;33;5;18;1217
39;14;27;19;1;2;1218
32;19;21;47;5;17;1219
14;41;42;23;24;9;1220
32;24;17;42;1;44;1221
21;39;43;25;41;42;1222
45;16;27;49;21;38;1223
42;39;11;4;8;7;1224
9;16;26;7;5;43;1225
27;16;12;45;15;20;1226
25;11;26;21;41;7;1227
23;18;24;45;35;6;1228
38;33;41;6;20;37;1229
35;30;16;45;44;6;1230
32;4;46;2;10;35;1231
32;15;18;48;49;39;1232
33;7;41;23;21;45;1233
48;20;47;14;30;43;1234
17;34;30;35;25;41;1235
25;33;13;15;34;17;1236
30;40;41;17;43;1;1237
37;40;33;46;47;9;1238
8;43;37;18;35;16;1239
6;16;2;7;39;44;1240
32;48;46;27;43;45;1241
40;37;27;29;48;4;1242
42;24;20;2;31;48;1243
30;2;22;9;26;5;1244
43;31;28;49;44;45;1245
20;42;40;48;14;17;1246
27;5;38;19;24;28;1247
10;2;40;16;21;12;1248
37;20;5;7;4;32;1249
39;7;42;10;21;36;1250
23;29;44;11;12;15;1251
18;4;19;17;42;16;1252
11;43;45;22;26;18;1253
22;38;34;25;23;24;1254
12;17;1;20;38;19;1255
10;37;14;29;9;48;1256
49;1;2;41;36;22;1257
40;5;14;22;36;1;1258
26;14;6;5;16;11;1259
28;32;15;34;40;8;1260
15;28;22;14;23;20;1261
14;26;3;43;45;31;1262
23;5;46;16;35;8;1263
7;35;26;48;8;9;1264
35;16;19;11;18;5;1265
49;28;31;30;23;19;1266
30;31;39;3;1;18;1267
18;49;2;27;45;25;1268
27;13;44;21;26;47;1269
37;29;36;8;16;17;1270
5;33;35;1;37;30;1271
26;1;49;43;21;13;1272
40;48;39;28;21;16;1273
14;43;40;35;15;46;1274
41;1;33;43;5;9;1275
19;30;33;14;11;27;1276
40;19;27;16;42;43;1277
36;34;32;14;41;17;1278
13;21;20;19;3;15;1279
10;3;41;11;25;24;1280
13;11;49;42;5;39;1281
9;19;47;18;10;27;1282
14;21;46;17;43;26;1283
21;33;16;2;36;26;1284
38;1;11;14;33;5;1285
33;17;48;2;3;25;1286
45;7;28;43;42;10;1287
47;41;42;28;45;9;1288
11;29;41;20;25;47;1289
24;13;10;3;44;5;1290
32;16;13;26;15;25;1291
1;31;25;11;4;15;1292
32;40;43;21;28;15;1293
49;20;29;44;11;38;1294
39;8;34;41;47;3;1295
34;19;46;29;32;27;1296
8;23;21;22;42;43;1297
17;38;16;4;42;28;1298
6;28;35;11;14;25;1299
36;47;23;25;42;12;1300
34;37;12;41;19;11;1301
32;2;12;6;43;23;1302
21;22;45;33;13;48;1303
10;37;12;46;30;29;1304
35;18;31;28;22;49;1305
31;48;17;8;4;37;1306
40;8;23;21;5;7;1307
26;27;32;22;19;21;1308
15;36;12;16;30;13;1309
21;16;9;25;44;1;1310
30;5;45;21;26;31;1311
25;2;38;10;30;41;1312
14;12;42;38;49;36;1313
18;49;8;33;4;47;1314
6;40;33;32;3;8;1315
43;16;27;4;21;14;1316
19;40;12;6;22;31;1317
27;41;45;32;20;29;1318
34;28;46;23;38;29;1319
10;1;39;37;21;45;1320
11;24;42;12;31;48;1321
31;4;48;47;34;12;1322
34;33;20;45;17;22;1323
44;33;4;46;48;18;1324
22;20;7;26;9;29;1325
7;35;30;2;42;34;1326
8;48;27;21;11;10;1327
3;27;31;9;2;21;1328
23;18;36;15;6;47;1329
11;17;28;8;33;19;1330
37;27;39;19;2;28;1331
37;49;28;42;6;46;1332
14;2;27;43;26;47;1333
40;49;23;7;44;21;1334
27;6;29;32;18;5;1335
35;16;9;27;25;39;1336
30;48;41;35;25;44;1337
5;49;22;38;41;7;1338
33;45;13;29;12;18;1339
10;6;18;29;15;20;1340
34;43;36;10;7;23;1341
21;5;47;35;26;30;1342
35;7;11;48;30;29;1343
4;44;7;9;34;40;1344
15;46;25;7;32;23;1345
49;38;1;3;37;42;1346
48;1;18;5;14;16;1347
4;48;11;42;9;7;1348
17;35;21;24;32;23;1349
15;41;34;42;25;30;1350
2;36;12;34;48;14;1351
25;27;45;49;28;34;1352
30;33;15;1;34;2;1353
36;37;16;20;33;1;1354
33;8;4;30;45;48;1355
42;32;19;21;36;4;1356
38;48;18;33;15;11;1357
37;11;18;40;17;5;1358
3;49;38;37;43;10;1359
10;27;12;17;32;24;1360
37;10;1;26;20;2;1361
31;7;35;46;5;20;1362
14;46;17;45;35;25;1363
4;31;21;15;18;10;1364
47;42;17;23;28;48;1365
40;25;44;14;35;30;1366
23;47;30;22;21;1;1367
6;49;11;19;4;20;1368
2;34;15;24;37;21;1369
46;26;33;44;22;28;1370
19;48;34;21;25;8;1371
8;27;26;39;45;12;1372
31;19;24;14;23;25;1373
14;47;7;41;40;1;1374
39;21;30;28;4;36;1375
17;2;33;12;49;16;1376
47;46;24;8;32;11;1377
24;27;36;31;28;35;1378
25;48;9;41;28;11;1379
14;36;48;7;10;40;1380
47;41;38;25;27;39;1381
26;32;48;42;6;37;1382
5;42;41;21;26;18;1383
13;35;39;6;23;37;1384
38;5;42;35;22;12;1385
3;13;19;40;17;22;1386
24;33;12;39;18;5;1387
14;32;31;38;7;18;1388
10;37;22;17;38;14;1389
33;10;23;4;3;12;1390
3;21;13;27;11;5;1391
12;37;3;20;33;1;1392
1;22;6;2;11;48;1393
7;11;14;21;13;35;1394
16;7;1;37;39;13;1395
46;14;29;1;12;21;1396
39;21;28;27;37;44;1397
5;31;13;26;33;38;1398
18;28;19;34;38;21;1399
49;41;38;2;14;46;1400
17;24;2;37;28;8;1401
6;34;39;35;17;21;1402
41;16;11;28;4;27;1403
28;10;30;35;34;1;1404
1;42;16;31;20;4;1405
21;7;48;6;25;33;1406
26;42;48;10;16;44;1407
3;33;47;5;37;20;1408
18;2;38;36;34;44;1409
47;40;28;2;19;25;1410
45;15;3;27;10;42;1411
38;23;44;9;22;14;1412
35;11;10;25;20;47;1413
20;39;19;27;9;30;1414
48;13;28;29;32;6;1415
22;36;2;45;17;13;1416
27;3;46;30;44;38;1417
27;18;15;33;35;31;1418
46;17;24;36;11;25;1419
20;22;16;21;10;44;1420
48;7;29;12;6;9;1421
5;16;41;20;6;28;1422
4;34;37;24;2;42;1423
38;4;10;1;48;9;1424
10;43;19;6;47;30;1425
38;47;2;19;44;43;1426
17;44;13;33;6;19;1427
12;39;22;26;29;3;1428
36;5;17;13;44;48;1429
18;39;37;26;20;27;1430
1;32;44;31;15;29;1431
37;48;22;34;9;45;1432
42;1;27;26;11;7;1433
46;15;39;4;5;32;1434
40;8;35;42;18;46;1435
6;44;10;32;12;15;1436
30;12;34;39;32;4;1437
38;47;33;2;39;18;1438
6;9;21;49;44;38;1439
44;5;43;13;20;42;1440
32;1;35;2;23;20;1441
9;43;24;11;17;35;1442
9;44;1;35;15;38;1443
46;40;8;38;26;36;1444
48;2;27;16;37;21;1445
5;33;4;48;32;31;1446
24;34;8;27;2;14;1447
32;11;44;26;21;33;1448
37;39;46;8;48;41;1449
3;16;48;44;27;46;1450
49;38;25;41;42;8;1451
47;15;45;32;31;14;1452
41;47;18;49;3;9;1453
49;36;29;8;47;10;1454
18;3;41;47;27;19;1455
24;4;37;17;35;13;1456
31;41;46;27;45;6;1457
25;34;8;49;41;2;1458
23;30;13;7;11;19;1459
1;16;20;33;11;15;1460
27;33;20;47;3;19;1461
7;9;12;46;20;33;1462
30;21;13;6;1;37;1463
46;44;19;29;21;9;1464
47;24;30;13;15;43;1465
27;2;23;30;46;48;1466
16;2;3;40;11;38;1467
2;30;26;17;33;16;1468
49;33;9;42;37;15;1469
28;43;38;20;19;3;1470
7;36;11;8;15;1;1471
31;32;47;40;15;17;1472
45;17;27;21;9;2;1473
22;40;19;46;6;41;1474
33;32;10;23;27;15;1475
24;28;46;3;7;16;1476
31;12;22;7;25;3;1477
37;32;39;44;10;36;1478
49;33;38;15;2;14;1479
41;46;19;3;39;7;1480
1;31;30;22;6;36;1481
32;21;44;25;45;28;1482
28;13;42;9;32;47;1483
45;47;6;24;32;22;1484
15;17;44;6;35;23;1485
31;21;43;8;13;14;1486
43;5;32;48;29;11;1487
20;16;21;1;47;32;1488
37;36;24;30;26;9;1489
18;12;5;37;47;33;1490
7;35;6;40;1;2;1491
47;24;23;26;4;31;1492
13;38;32;17;29;11;1493
35;1;27;21;41;34;1494
23;32;36;8;43;10;1495
41;14;7;1;5;45;1496
39;36;27;47;22;37;1497
25;36;22;35;6;2;1498
43;30;22;6;10;4;1499
46;18;10;48;35;26;1500
40;20;33;47;3;10;1501
16;10;4;35;14;46;1502
18;8;16;5;47;21;1503
37;31;39;12;29;45;1504
11;15;38;49;22;19;1505
1;17;41;25;4;6;1506
3;11;33;5;42;13;1507
40;48;47;5;22;11;1508
4;38;40;28;43;2;1509
31;48;21;7;42;5;1510
38;5;48;12;14;44;1511
5;23;46;32;9;12;1512
47;36;15;34;29;12;1513
20;40;45;14;1;22;1514
9;16;44;7;38;49;1515
33;34;32;19;40;49;1516
4;42;30;33;10;13;1517
11;36;19;12;21;49;1518
7;19;9;10;43;45;1519
13;21;48;17;10;46;1520
33;17;23;42;40;37;1521
36;37;6;3;49;38;1522
26;29;39;49;36;2;1523
18;15;17;24;44;31;1524
43;23;7;20;13;17;1525
21;34;27;10;40;37;1526
39;11;1;38;14;37;1527
49;48;21;44;41;40;1528
38;39;29;34;1;20;1529
10;42;17;43;16;31;1530
6;15;27;7;34;20;1531
8;17;2;11;19;39;1532
32;33;29;14;5;23;1533
14;47;40;6;1;24;1534
13;46;30;5;1;41;1535
42;7;34;5;46;1;1536
37;12;22;5;23;33;1537
36;48;17;30;16;14;1538
42;46;17;47;14;45;1539
26;6;22;19;35;36;1540
40;28;19;13;34;22;1541
43;26;20;10;18;46;1542
39;6;13;18;38;3;1543
32;3;4;16;22;11;1544
45;44;38;27;29;1;1545
33;37;49;28;17;32;1546
30;22;41;24;14;45;1547
45;23;47;30;12;28;1548
16;46;6;7;48;24;1549
9;7;49;29;46;42;1550
8;4;15;39;36;5;1551
10;4;11;20;15;25;1552
3;32;42;10;31;2;1553
2;15;30;22;16;35;1554
20;33;39;26;40;4;1555
38;1;21;30;23;2;1556
13;29;39;22;46;20;1557
5;9;18;19;11;48;1558
30;2;42;26;38;24;1559
1;21;3;24;13;49;1560
18;3;7;43;38;26;1561
35;14;34;7;33;45;1562
24;19;38;12;9;37;1563
34;5;48;3;7;16;1564
38;45;37;30;31;48;1565
35;15;12;49;10;34;1566
13;19;43;25;15;38;1567
28;38;39;15;46;44;1568
42;24;9;34;2;5;1569
3;14;20;36;19;46;1570
1;48;10;15;11;38;1571
39;8;31;48;38;15;1572
22;48;3;30;36;15;1573
23;28;48;33;6;12;1574
17;19;20;8;29;23;1575
36;44;37;7;9;17;1576
37;35;14;1;49;30;1577
46;31;32;8;43;33;1578
31;7;10;38;8;32;1579
3;36;41;28;19;29;1580
24;20;31;27;45;48;1581
6;3;37;43;42;33;1582
30;31;29;49;48;11;1583
17;33;29;48;44;14;1584
41;27;48;10;18;6;1585
42;24;41;11;26;13;1586
43;33;5;37;17;14;1587
42;23;28;35;20;36;1588
5;44;26;19;18;6;1589
3;29;41;45;31;6;1590
45;49;27;24;21;1;1591
47;11;46;24;19;42;1592
21;24;1;23;44;36;1593
33;44;24;35;49;3;1594
8;33;49;15;38;37;1595
37;14;41;42;3;8;1596
5;22;49;36;12;23;1597
5;26;42;12;18;39;1598
12;49;31;30;15;6;1599
13;27;38;14;3;39;1600
18;22;17;28;5;47;1601
49;32;29;10;21;27;1602
3;40;31;45;1;37;1603
2;6;18;15;27;5;1604
10;23;40;34;30;22;1605
6;28;18;45;4;29;1606
27;29;28;22;16;8;1607
6;44;33;47;35;32;1608
8;38;17;43;14;34;1609
28;49;31;2;3;42;1610
32;34;18;23;26;45;1611
1;19;48;32;39;37;1612
31;49;16;37;15;32;1613
6;28;14;16;23;10;1614
8;38;23;35;3;13;1615
17;47;27;39;49;20;1616
9;4;35;20;21;25;1617
22;27;26;7;17;35;1618
5;25;31;30;38;41;1619
14;42;19;44;10;46;1620
15;20;34;41;17;11;1621
8;3;5;23;48;43;1622
23;28;16;45;26;46;1623
12;17;6;16;11;27;1624
18;2;5;25;6;29;1625
9;33;31;5;14;28;1626
15;13;35;10;1;45;1627
15;25;48;27;42;30;1628
28;25;21;15;7;34;1629
7;30;40;10;4;21;1630
24;10;31;49;47;6;1631
31;45;39;29;40;19;1632
16;2;32;39;27;46;1633
40;42;38;49;7;19;1634
26;37;9;1;10;23;1635
31;30;13;44;42;15;1636
24;33;3;47;10;46;1637
31;23;20;43;4;5;1638
29;48;6;18;40;49;1639
15;28;33;32;34;14;1640
49;41;39;14;22;10;1641
18;10;42;41;13;43;1642
47;27;16;49;18;13;1643
15;49;1;14;9;22;1644
37;27;30;4;44;12;1645
36;16;45;38;8;18;1646
37;22;33;7;21;39;1647
23;14;12;30;19;2;1648
47;19;16;42;39;15;1649
26;45;21;3;8;11;1650
44;27;41;7;12;5;1651
36;15;10;26;22;23;1652
15;16;20;27;19;13;1653
24;15;40;27;20;4;1654
25;33;26;20;40;31;1655
27;42;29;1;6;17;1656
4;23;14;2;16;22;1657
25;3;43;38;42;33;1658
46;1;20;45;6;7;1659
48;33;1;43;49;46;1660
19;9;45;23;49;38;1661
31;17;21;11;28;23;1662
32;34;22;40;1;8;1663
25;36;9;35;1;46;1664
28;11;47;27;41;7;1665
45;1;40;21;41;5;1666
20;41;18;32;43;24;1667
45;33;8;19;43;12;1668
35;42;48;46;16;47;1669
17;15;41;46;49;11;1670
7;3;33;12;27;4;1671
48;33;20;11;18;19;1672
9;46;39;37;48;20;1673
21;22;23;14;25;42;1674
30;6;23;19;36;45;1675
20;31;38;23;25;18;1676
44;16;10;11;9;35;1677
34;42;17;22;6;4;1678
14;41;16;19;25;2;1679
38;21;31;32;29;46;1680
12;41;31;18;9;38;1681
25;45;19;32;22;12;1682
30;26;37;1;10;31;1683
44;37;6;17;36;42;1684
30;26;31;25;32;24;1685
37;7;27;49;40;44;1686
11;35;7;45;41;14;1687
19;36;21;45;2;6;1688
44;11;39;2;22;4;1689
22;10;44;45;27;31;1690
43;33;12;27;47;34;1691
11;46;18;9;36;30;1692
32;11;30;12;39;14;1693
10;11;47;38;28;43;1694
43;33;6;38;19;3;1695
12;49;15;22;42;35;1696
9;30;42;26;16;35;1697
33;44;43;12;10;40;1698
31;8;12;29;15;40;1699
5;19;20;40;47;2;1700
22;41;7;46;4;26;1701
41;3;19;20;15;40;1702
2;10;42;34;44;23;1703
20;22;18;40;19;35;1704
35;29;26;41;31;36;1705
37;1;10;44;47;43;1706
26;11;7;47;36;30;1707
19;29;38;39;4;11;1708
19;18;42;8;29;37;1709
41;45;3;23;30;28;1710
46;12;27;3;42;7;1711
40;4;49;7;25;39;1712
23;38;6;41;4;29;1713
44;16;2;37;9;14;1714
22;36;43;48;47;26;1715
17;9;21;28;22;32;1716
17;23;1;3;8;30;1717
20;28;15;5;14;45;1718
19;38;43;34;20;22;1719
21;47;23;3;27;25;1720
8;5;34;28;11;19;1721
8;39;3;13;9;15;1722
43;32;4;49;14;21;1723
9;30;4;29;41;24;1724
20;47;12;27;34;36;1725
17;21;15;34;10;38;1726
26;22;27;29;37;33;1727
24;29;44;32;5;37;1728
11;46;10;28;24;20;1729
42;9;11;45;47;31;1730
29;26;15;38;42;9;1731
48;34;47;49;39;35;1732
1;25;16;4;48;31;1733
49;33;24;12;41;8;1734
26;6;2;32;45;13;1735
35;7;23;12;6;36;1736
40;16;13;12;17;26;1737
17;5;37;49;1;9;1738
19;11;25;27;43;37;1739
43;40;14;41;44;36;1740
38;45;16;37;29;1;1741
16;41;42;21;9;12;1742
14;17;33;18;35;41;1743
20;42;49;43;44;19;1744
22;10;38;5;7;6;1745
44;38;48;19;37;39;1746
35;10;18;32;28;38;1747
6;43;31;24;12;48;1748
41;2;42;33;3;7;1749
31;4;22;34;9;16;1750
22;42;19;7;5;48;1751
25;12;4;43;16;11;1752
26;18;24;5;17;41;1753
36;9;6;47;35;5;1754
21;8;29;17;25;4;1755
27;7;23;19;22;17;1756
6;10;16;8;21;34;1757
41;40;4;32;12;8;1758
42;46;38;16;4;14;1759
21;24;16;19;44;4;1760
2;7;36;3;25;4;1761
38;15;5;24;17;49;1762
12;26;31;43;13;28;1763
3;12;30;32;15;2;1764
42;47;20;38;9;11;1765
11;37;17;47;16;8;1766
14;13;29;27;11;18;1767
1;46;22;40;20;13;1768
25;39;26;2;19;21;1769
42;46;39;26;13;47;1770
38;43;23;21;47;9;1771
6;39;12;45;7;32;1772
35;29;17;10;4;28;1773
4;8;49;2;40;23;1774
37;9;3;35;27;5;1775
8;20;4;36;13;21;1776
21;34;24;3;25;32;1777
27;37;32;9;47;44;1778
48;20;4;26;29;32;1779
33;36;32;2;27;3;1780
42;46;21;7;5;8;1781
46;27;47;23;19;48;1782
2;46;37;15;24;33;1783
31;26;33;28;3;18;1784
9;38;28;7;39;23;1785
49;16;44;46;15;2;1786
44;45;48;12;46;30;1787
37;33;12;6;42;15;1788
8;42;40;1;17;18;1789
12;10;42;6;9;37;1790
29;46;48;42;35;20;1791
49;46;10;20;21;38;1792
7;25;1;49;32;15;1793
12;17;14;27;8;46;1794
45;42;43;17;4;11;1795
12;39;24;4;29;21;1796
7;36;48;34;46;4;1797
43;49;14;8;33;38;1798
3;7;10;9;32;6;1799
42;3;49;12;31;26;1800
4;28;9;34;23;24;1801
26;13;38;18;25;3;1802
20;47;5;17;43;19;1803
20;7;8;23;35;42;1804
19;21;3;4;41;29;1805
3;25;14;6;41;40;1806
46;49;1;12;22;18;1807
11;49;35;34;1;26;1808
36;9;28;3;37;32;1809
17;39;6;18;26;35;1810
36;40;1;44;19;25;1811
28;2;4;35;5;27;1812
43;20;48;42;10;4;1813
37;34;18;2;10;22;1814
20;27;34;43;24;47;1815
37;49;28;3;24;23;1816
30;10;25;29;14;12;1817
36;25;7;21;29;5;1818
37;35;1;17;48;4;1819
16;17;33;40;41;35;1820
20;11;34;39;24;9;1821
29;19;35;22;9;7;1822
24;2;32;21;26;42;1823
38;3;17;2;21;46;1824
22;47;31;37;16;46;1825
1;27;31;7;41;32;1826
13;9;46;40;22;11;1827
43;46;15;24;34;25;1828
25;5;11;26;19;23;1829
33;27;42;49;3;25;1830
12;42;3;37;18;24;1831
49;34;25;17;14;15;1832
15;30;24;43;46;32;1833
33;36;2;47;6;18;1834
34;13;49;42;18;6;1835
40;43;26;7;8;37;1836
40;37;19;3;25;24;1837
13;18;32;5;29;35;1838
17;47;23;5;8;40;1839
2;15;22;39;41;37;1840
8;16;10;2;5;6;1841
47;9;19;34;26;43;1842
33;15;49;43;5;48;1843
34;49;4;31;38;8;1844
11;42;37;5;44;38;1845
5;33;30;15;6;19;1846
2;33;36;6;40;4;1847
21;13;27;16;43;22;1848
49;20;36;24;3;5;1849
37;24;18;49;31;43;1850
5;42;20;4;47;49;1851
11;26;49;27;20;38;1852
31;26;33;10;23;47;1853
17;49;38;10;12;37;1854
46;35;34;24;14;43;1855
19;30;35;21;36;43;1856
22;10;7;44;28;31;1857
46;16;4;21;22;36;1858
38;1;42;40;20;41;1859
40;11;9;13;7;32;1860
4;28;36;16;22;30;1861
34;28;26;1;48;25;1862
32;42;39;3;21;48;1863
5;4;27;47;24;42;1864
3;41;5;10;13;38;1865
19;1;15;31;32;43;1866
1;33;4;26;47;22;1867
12;46;39;41;5;37;1868
48;2;27;31;40;38;1869
23;10;41;22;25;7;1870
8;47;7;29;10;39;1871
31;26;36;41;32;7;1872
40;9;7;32;38;28;1873
32;44;49;48;34;45;1874
33;35;37;40;24;32;1875
18;9;19;46;40;17;1876
18;3;12;23;35;43;1877
23;17;16;12;31;36;1878
9;14;13;21;8;41;1879
24;39;38;4;34;33;1880
17;41;25;4;8;2;1881
4;24;45;23;32;18;1882
26;9;18;2;14;21;1883
32;31;2;8;43;29;1884
26;11;40;36;3;9;1885
15;6;12;28;16;48;1886
6;49;16;42;41;17;1887
37;43;1;44;39;47;1888
49;32;30;45;12;8;1889
46;17;43;45;35;36;1890
27;11;18;16;32;39;1891
45;39;1;3;21;18;1892
4;32;9;48;31;14;1893
31;40;20;41;22;47;1894
14;35;47;30;22;16;1895
41;16;25;40;6;37;1896
41;32;48;17;35;4;1897
46;4;3;39;40;11;1898
30;11;19;27;13;25;1899
42;9;31;15;28;43;1900
45;36;2;18;16;46;1901
19;21;20;47;14;35;1902
1;42;36;37;5;21;1903
1;5;27;3;17;30;1904
11;29;49;37;14;31;1905
49;10;41;40;24;31;1906
22;25;39;5;4;15;1907
29;39;2;46;5;22;1908
19;32;3;4;15;41;1909
7;44;17;1;28;49;1910
9;21;38;36;26;29;1911
21;33;19;32;8;36;1912
36;11;26;29;24;6;1913
43;17;2;35;23;46;1914
27;41;2;46;28;44;1915
14;19;42;3;15;24;1916
39;16;32;12;35;28;1917
24;5;19;1;48;16;1918
36;37;25;20;8;30;1919
48;1;5;45;35;18;1920
15;10;6;25;41;17;1921
10;5;26;25;9;45;1922
11;43;14;35;37;12;1923
5;45;39;32;40;36;1924
25;47;49;10;41;12;1925
12;32;8;38;35;30;1926
